city_id,yearcode,goal_id,goalValue,goal,challenge_cat_id
1,20240,1,0.35,enrollment,4
1,20240,1,0.4,enrollment,3
1,20240,1,0.45,enrollment,2
1,20240,1,0.5,enrollment,1
2,20240,1,0.35,enrollment,4
2,20240,1,0.4,enrollment,3
2,20240,1,0.45,enrollment,2
2,20240,1,0.5,enrollment,1
3,20240,1,0.35,enrollment,4
3,20240,1,0.4,enrollment,3
3,20240,1,0.45,enrollment,2
3,20240,1,0.5,enrollment,1
4,20240,1,0.35,enrollment,4
4,20240,1,0.4,enrollment,3
4,20240,1,0.45,enrollment,2
4,20240,1,0.5,enrollment,1
5,20240,1,0.35,enrollment,4
5,20240,1,0.4,enrollment,3
5,20240,1,0.45,enrollment,2
5,20240,1,0.5,enrollment,1
6,20240,1,0.35,enrollment,4
6,20240,1,0.4,enrollment,3
6,20240,1,0.45,enrollment,2
6,20240,1,0.5,enrollment,1
7,20240,1,0.35,enrollment,4
7,20240,1,0.4,enrollment,3
7,20240,1,0.45,enrollment,2
7,20240,1,0.5,enrollment,1
8,20240,1,0.35,enrollment,4
8,20240,1,0.4,enrollment,3
8,20240,1,0.45,enrollment,2
8,20240,1,0.5,enrollment,1
9,20240,1,0.35,enrollment,4
9,20240,1,0.4,enrollment,3
9,20240,1,0.45,enrollment,2
9,20240,1,0.5,enrollment,1
10,20240,1,0.35,enrollment,4
10,20240,1,0.4,enrollment,3
10,20240,1,0.45,enrollment,2
10,20240,1,0.5,enrollment,1
11,20240,1,0.35,enrollment,4
11,20240,1,0.4,enrollment,3
11,20240,1,0.45,enrollment,2
11,20240,1,0.5,enrollment,1
12,20240,1,0.35,enrollment,4
12,20240,1,0.4,enrollment,3
12,20240,1,0.45,enrollment,2
12,20240,1,0.5,enrollment,1
13,20240,1,0.35,enrollment,4
13,20240,1,0.4,enrollment,3
13,20240,1,0.45,enrollment,2
13,20240,1,0.5,enrollment,1
